39 documents , 1 concepts , 261 context features (59339) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -395, end 142, times 6, dT 100, I 1000


map[]

===============  per type  ===============
0.15675292230769236   T=2,K=7:  72292 (0.111) ; 1564 (0.078) ; nlsj59172 (0.065) ; 19789 (0.061) ; 102381 (0.057) ; 110639 (0.052) ; 12485 (0.050) ; nlsj65911 (0.046) ; 24394 (0.044) ; 67289 (0.030) ; 
0.14046925857922782   T=3,K=7:  72292 (0.124) ; 24394 (0.073) ; 19789 (0.071) ; nlsj65911 (0.070) ; 12485 (0.068) ; 1564 (0.066) ; 110639 (0.050) ; nlsj59172 (0.037) ; 102381 (0.033) ; 42887 (0.032) ; 
0.18423897514406185   T=4,K=7:  12485 (0.100) ; nlsj65911 (0.083) ; 1564 (0.076) ; 24394 (0.065) ; 72292 (0.065) ; 110639 (0.048) ; 19789 (0.046) ; 67289 (0.046) ; 102381 (0.040) ; 42887 (0.030) ; 
0.26829751444536637   T=5,K=7:  72292 (0.111) ; 12485 (0.104) ; nlsj65911 (0.081) ; 1564 (0.071) ; 110639 (0.053) ; 102381 (0.045) ; 24394 (0.043) ; 19789 (0.032) ; 42887 (0.032) ; 67289 (0.031) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=7:  72292 (0.100) ; 12485 (0.074) ; 1564 (0.073) ; nlsj65911 (0.067) ; 19789 (0.053) ; 24394 (0.052) ; 110639 (0.050) ; nlsj59172 (0.045) ; 102381 (0.042) ; 67289 (0.037) ; 

0.19303289006991523   T=0,K=8:  84234 (0.166) ; 34587 (0.070) ; 83718 (0.054) ; 111023 (0.051) ; 8665 (0.045) ; 26889 (0.044) ; 11760 (0.039) ; 79476 (0.038) ; 34138 (0.034) ; 82331 (0.032) ; 
0.05222460160472216   T=1,K=8:  84234 (0.219) ; 111023 (0.121) ; 34587 (0.061) ; 83718 (0.045) ; 26889 (0.041) ; 8665 (0.038) ; 34138 (0.035) ; 11760 (0.032) ; 112934 (0.031) ; 79476 (0.025) ; 
0.02918232751851632   T=2,K=8:  84234 (0.168) ; 111023 (0.134) ; 34138 (0.051) ; 34587 (0.043) ; 112934 (0.040) ; 11760 (0.039) ; 26889 (0.038) ; 83718 (0.038) ; 8665 (0.034) ; 79476 (0.024) ; 
0.04082830939319943   T=3,K=8:  111023 (0.128) ; 84234 (0.122) ; 34587 (0.059) ; 8665 (0.046) ; 34138 (0.040) ; 112934 (0.039) ; 60308 (0.032) ; 79476 (0.029) ; 26889 (0.028) ; 11760 (0.024) ; 
0.015964696354545515   T=4,K=8:  84234 (0.200) ; 111023 (0.108) ; 34587 (0.067) ; 8665 (0.038) ; 79476 (0.038) ; 83718 (0.038) ; 34138 (0.031) ; 68501 (0.029) ; 60308 (0.028) ; 112934 (0.028) ; 
0.009316773001250323   T=5,K=8:  84234 (0.157) ; 34587 (0.113) ; 111023 (0.083) ; 8665 (0.069) ; 68501 (0.051) ; 83718 (0.051) ; 60308 (0.032) ; 34138 (0.029) ; 79476 (0.026) ; 112934 (0.026) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=8:  84234 (0.172) ; 111023 (0.104) ; 34587 (0.069) ; 8665 (0.045) ; 83718 (0.041) ; 34138 (0.037) ; 112934 (0.033) ; 26889 (0.032) ; 79476 (0.030) ; 11760 (0.030) ; 

