785 documents , 1 concepts , 1744 context features (15047) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 8, max_docs_per_slice 2000, start -488, end 400, times 45, dT 20, I 100


map[]

===============  per type  ===============
0.5332516426681981   T=43,K=0:  4490 (0.033) ; 71882 (0.023) ; 17730 (0.010) ; 31236 (0.010) ; 26412 (0.009) ; 79904 (0.008) ; 10933 (0.008) ; 30989 (0.007) ; 63373 (0.006) ; 13872 (0.006) ; 
0.5876593658724865   T=44,K=0:  4490 (0.050) ; 71882 (0.015) ; 17730 (0.011) ; 31236 (0.008) ; 30989 (0.007) ; 58367 (0.007) ; 13872 (0.007) ; 26412 (0.006) ; 82453 (0.006) ; 76512 (0.006) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  79904 (0.016) ; 4490 (0.012) ; 71882 (0.011) ; 65552 (0.010) ; 74126 (0.009) ; 31236 (0.007) ; 97502 (0.007) ; 106566 (0.007) ; 80033 (0.006) ; 67225 (0.006) ; 

0.0019558034900574533   T=0,K=1:  63772 (0.033) ; 45996 (0.017) ; 62204 (0.016) ; 28569 (0.016) ; 16051 (0.013) ; 71882 (0.011) ; 90504 (0.011) ; 6926 (0.009) ; 102079 (0.008) ; 98234 (0.007) ; 
0.008588721573520074   T=1,K=1:  63772 (0.030) ; 71882 (0.018) ; 45996 (0.014) ; 62204 (0.011) ; 90504 (0.010) ; 28569 (0.010) ; 6926 (0.009) ; 16051 (0.009) ; 102079 (0.008) ; 31236 (0.008) ; 
0.012760376587866853   T=2,K=1:  71882 (0.022) ; 63772 (0.019) ; 62204 (0.012) ; 28569 (0.012) ; 45996 (0.012) ; 16051 (0.011) ; 90504 (0.009) ; 31236 (0.008) ; 102079 (0.008) ; 98234 (0.008) ; 
0.025888942925456224   T=3,K=1:  71882 (0.030) ; 63772 (0.018) ; 45996 (0.014) ; 90504 (0.013) ; 28569 (0.012) ; 16051 (0.010) ; 62204 (0.008) ; 106502 (0.008) ; 31236 (0.008) ; 15047 (0.007) ; 
0.06795161865970961   T=4,K=1:  71882 (0.030) ; 90504 (0.020) ; 63772 (0.018) ; 45996 (0.014) ; 106502 (0.010) ; 28569 (0.008) ; 31236 (0.008) ; 79904 (0.008) ; 62204 (0.007) ; 102079 (0.006) ; 
0.05616836236473791   T=5,K=1:  71882 (0.024) ; 90504 (0.022) ; 63772 (0.020) ; 79904 (0.011) ; 45996 (0.007) ; 74621 (0.007) ; 74713 (0.007) ; 33494 (0.007) ; 6926 (0.007) ; 106502 (0.007) ; 
0.05438409322097205   T=6,K=1:  90504 (0.044) ; 63772 (0.021) ; 71882 (0.019) ; 79904 (0.012) ; 33494 (0.011) ; 15047 (0.008) ; 45996 (0.008) ; 74621 (0.008) ; 31236 (0.008) ; 74713 (0.007) ; 
0.03926455632987014   T=7,K=1:  71882 (0.051) ; 90504 (0.045) ; 63772 (0.028) ; 33494 (0.018) ; 45996 (0.018) ; 79904 (0.011) ; 74713 (0.007) ; 106502 (0.007) ; 28569 (0.007) ; 74621 (0.006) ; 
0.0698819217059243   T=8,K=1:  71882 (0.050) ; 90504 (0.043) ; 63772 (0.035) ; 33494 (0.028) ; 45996 (0.024) ; 79904 (0.010) ; 67225 (0.008) ; 106502 (0.006) ; 28569 (0.006) ; 22389 (0.005) ; 
0.03498667531494629   T=9,K=1:  33494 (0.056) ; 90504 (0.054) ; 71882 (0.049) ; 63772 (0.042) ; 45996 (0.023) ; 79904 (0.007) ; 67225 (0.006) ; 28569 (0.006) ; 98234 (0.006) ; 89407 (0.005) ; 
0.06298779057988786   T=10,K=1:  63772 (0.064) ; 90504 (0.035) ; 71882 (0.032) ; 33494 (0.024) ; 45996 (0.014) ; 28569 (0.009) ; 79904 (0.006) ; 67225 (0.006) ; 3261 (0.005) ; 31236 (0.005) ; 
0.0473899533383826   T=11,K=1:  63772 (0.056) ; 71882 (0.041) ; 90504 (0.031) ; 33494 (0.025) ; 28569 (0.012) ; 45996 (0.012) ; 79904 (0.008) ; 31236 (0.005) ; 74621 (0.004) ; 19539 (0.004) ; 
0.04803001147100171   T=12,K=1:  33494 (0.034) ; 63772 (0.032) ; 71882 (0.030) ; 90504 (0.023) ; 28569 (0.012) ; 79904 (0.011) ; 45996 (0.007) ; 89407 (0.005) ; 15047 (0.005) ; 31236 (0.004) ; 
0.03551862309583472   T=13,K=1:  63772 (0.031) ; 71882 (0.028) ; 33494 (0.026) ; 90504 (0.023) ; 45996 (0.010) ; 28569 (0.010) ; 79904 (0.010) ; 103421 (0.005) ; 6926 (0.004) ; 51647 (0.004) ; 
0.07833597189570339   T=14,K=1:  63772 (0.029) ; 71882 (0.028) ; 90504 (0.025) ; 33494 (0.015) ; 28569 (0.011) ; 45996 (0.007) ; 79904 (0.006) ; 95661 (0.005) ; 103421 (0.005) ; nlsj5634 (0.004) ; 
