470 documents , 1 concepts , 1904 context features (59339) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -700, end 142, times 9, dT 100, I 1000


map[]

===============  per type  ===============
4.069075399388407e-06   T=4,K=8:  22209 (0.078) ; 110639 (0.023) ; 1564 (0.014) ; 75552 (0.013) ; 45996 (0.013) ; 69714 (0.013) ; 84234 (0.012) ; 94474 (0.011) ; 61791 (0.010) ; 32322 (0.009) ; 
5.493908412146415e-06   T=5,K=8:  22209 (0.079) ; 1564 (0.023) ; 110639 (0.018) ; 94474 (0.013) ; 69714 (0.012) ; 10923 (0.012) ; 28002 (0.011) ; 17962 (0.010) ; 6339 (0.010) ; 72610 (0.010) ; 
8.692986106993332e-06   T=6,K=8:  22209 (0.031) ; 110639 (0.021) ; 1564 (0.020) ; 69714 (0.013) ; 10923 (0.013) ; 102000 (0.012) ; 59339 (0.011) ; 94474 (0.011) ; 47964 (0.010) ; 73742 (0.010) ; 
8.713081378063413e-06   T=7,K=8:  22209 (0.038) ; 110639 (0.023) ; 102000 (0.023) ; 48291 (0.016) ; 45996 (0.013) ; 69714 (0.013) ; 94474 (0.012) ; 59339 (0.012) ; 1564 (0.011) ; 47964 (0.009) ; 
9.977606734279227e-06   T=8,K=8:  22209 (0.033) ; 110639 (0.021) ; 102000 (0.018) ; 48291 (0.018) ; 94474 (0.014) ; 69714 (0.013) ; 59339 (0.013) ; 18107 (0.012) ; 45996 (0.011) ; 21891 (0.011) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=8:  22209 (0.053) ; 110639 (0.018) ; 94474 (0.014) ; 75552 (0.014) ; 88467 (0.013) ; 1564 (0.013) ; 45996 (0.013) ; 102000 (0.012) ; 69714 (0.011) ; 84234 (0.010) ; 

0.00034413518370786524   T=0,K=9:  29787 (0.062) ; 25582 (0.058) ; 25905 (0.038) ; 28550 (0.027) ; 22209 (0.023) ; 100410 (0.020) ; 87535 (0.020) ; 70922 (0.020) ; 88870 (0.016) ; 10214 (0.015) ; 
0.0002220985661157127   T=1,K=9:  29787 (0.055) ; 22209 (0.031) ; 70922 (0.031) ; 25582 (0.023) ; 100410 (0.022) ; 28550 (0.020) ; 25905 (0.020) ; 62093 (0.018) ; 66594 (0.017) ; 88870 (0.017) ; 
0.00020056179819668375   T=2,K=9:  25582 (0.030) ; 29787 (0.029) ; 28550 (0.028) ; 70922 (0.025) ; 22209 (0.024) ; 45996 (0.019) ; 66594 (0.019) ; 84494 (0.017) ; nlsj11323 (0.017) ; 100410 (0.015) ; 
0.00019493855431600905   T=3,K=9:  25582 (0.024) ; nlsj11323 (0.024) ; 28550 (0.024) ; 29787 (0.021) ; 75552 (0.021) ; 21872 (0.020) ; 22542 (0.020) ; 76029 (0.017) ; 100410 (0.017) ; 66594 (0.016) ; 
0.0001325318395653708   T=4,K=9:  25582 (0.033) ; nlsj11323 (0.022) ; 76029 (0.021) ; 37890 (0.021) ; 21872 (0.019) ; 100410 (0.018) ; 29787 (0.018) ; 22209 (0.017) ; 28550 (0.017) ; 45996 (0.016) ; 
0.00013368445756319414   T=5,K=9:  nlsj11323 (0.026) ; 45996 (0.026) ; 25582 (0.025) ; 21872 (0.023) ; 75552 (0.021) ; 25905 (0.020) ; 100410 (0.020) ; 67509 (0.019) ; 28566 (0.019) ; 29787 (0.018) ; 
0.00014896293341694914   T=6,K=9:  75552 (0.028) ; nlsj11323 (0.027) ; 62093 (0.023) ; 100410 (0.022) ; 76029 (0.021) ; 22542 (0.020) ; 28550 (0.020) ; 28566 (0.020) ; 45996 (0.019) ; 25582 (0.019) ; 
