1711 documents , 1 concepts , 3654 context features (26886) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  22209 (0.019) ; 84234 (0.016) ;  (0.011) ; 26886 (0.011) ; 72627 (0.010) ; 63772 (0.010) ; 20621 (0.009) ; 110639 (0.008) ; 11583 (0.008) ; 28569 (0.008) ; 

0.09409510982866746   T=0,K=3:  8665 (0.018) ; 86219 (0.015) ; 52572 (0.014) ; 4076 (0.014) ; 89366 (0.013) ; 45996 (0.013) ; 24292 (0.012) ; 27847 (0.012) ; 84234 (0.012) ; 34855 (0.012) ; 
0.05449424456097589   T=1,K=3:  52572 (0.019) ; 4076 (0.017) ; 27847 (0.016) ; 260 (0.013) ; 24292 (0.013) ; 84534 (0.012) ; 8665 (0.012) ; 31161 (0.012) ; 84234 (0.011) ; 45996 (0.010) ; 
0.1571404409006715   T=2,K=3:  260 (0.015) ; 27847 (0.015) ; 8665 (0.014) ; 84234 (0.013) ; 4076 (0.012) ; 52572 (0.012) ; 24292 (0.011) ; 31161 (0.010) ; 84534 (0.009) ; 22209 (0.009) ; 
0.10294870063310513   T=3,K=3:  260 (0.016) ; 8665 (0.016) ; 84234 (0.011) ; 47617 (0.011) ; 52572 (0.010) ; 24436 (0.010) ;  (0.009) ; 4076 (0.009) ; 84494 (0.009) ; 27847 (0.009) ; 
0.14044480650913038   T=4,K=3:  84234 (0.015) ;  (0.014) ; 8665 (0.014) ; 62204 (0.012) ; 86219 (0.011) ; 45996 (0.011) ; 52572 (0.010) ; nlsj76838 (0.010) ; 115887 (0.010) ; 103922 (0.009) ; 
0.06629218525350379   T=5,K=3:   (0.020) ; 8665 (0.017) ; 115887 (0.014) ; 70958 (0.011) ; 86219 (0.011) ; 52572 (0.010) ; 103922 (0.009) ; 84234 (0.008) ; 4076 (0.008) ; 29883 (0.008) ; 
0.05371166286770878   T=6,K=3:   (0.025) ; 8665 (0.013) ; 52572 (0.013) ; 84234 (0.011) ; 75552 (0.011) ; 42214 (0.009) ; 62204 (0.009) ; 70958 (0.009) ; 47617 (0.008) ; 86219 (0.008) ; 
0.12846121625011445   T=7,K=3:  75552 (0.015) ;  (0.014) ; 62204 (0.014) ; 8665 (0.013) ; 52572 (0.013) ; 260 (0.011) ; 86219 (0.010) ; 84234 (0.010) ; 42214 (0.009) ; 70958 (0.009) ; 
0.14539027031122542   T=8,K=3:  75552 (0.023) ; 84234 (0.012) ; nlsj56179 (0.012) ; 52572 (0.011) ;  (0.011) ; 260 (0.011) ; 70958 (0.011) ; 8665 (0.010) ; nlsj76838 (0.010) ; 84494 (0.009) ; 
0.07731814865606147   T=9,K=3:  75552 (0.025) ; 84234 (0.023) ; nlsj76838 (0.019) ;  (0.018) ; 8665 (0.014) ; nlsj56179 (0.012) ; 103922 (0.011) ; 260 (0.010) ; 86219 (0.009) ; 22209 (0.009) ; 
0.12109948417706115   T=10,K=3:  84234 (0.024) ; 75552 (0.022) ;  (0.021) ; nlsj76838 (0.017) ; nlsj56179 (0.016) ; 8665 (0.014) ; 22209 (0.013) ; 24292 (0.012) ; 62204 (0.010) ; 260 (0.010) ; 
0.09940631075690268   T=11,K=3:   (0.025) ; 75552 (0.018) ; 62204 (0.017) ; nlsj76838 (0.016) ; 22209 (0.015) ; nlsj56179 (0.013) ; 84234 (0.012) ; 15893 (0.011) ; 70962 (0.010) ; 24292 (0.009) ; 
