12 documents , 1 concepts , 186 context features (69419) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -430, end 364, times 7, dT 100, I 1000


map[]

===============  per type  ===============
0.00037654316170318016   T=4,K=4:  110598 (0.229) ; 8909 (0.107) ; 46195 (0.059) ; 57466 (0.052) ; 10056 (0.043) ; 20674 (0.043) ; 22209 (0.042) ; nlsj80958 (0.038) ; 97252 (0.036) ; 26032 (0.027) ; 
0.0007749065006293577   T=5,K=4:  110598 (0.191) ; 8909 (0.103) ; 22209 (0.076) ; 97252 (0.056) ; 57466 (0.055) ; nlsj80958 (0.048) ; 20674 (0.045) ; 46195 (0.039) ; 26032 (0.034) ; 10056 (0.032) ; 
4.930549876492453e-06   T=6,K=4:  110598 (0.280) ; 8909 (0.100) ; 57466 (0.095) ; 22209 (0.069) ; nlsj80958 (0.048) ; 97252 (0.037) ; 20674 (0.033) ; 46195 (0.028) ; 61925 (0.027) ; 114972 (0.025) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:  110598 (0.202) ; 8909 (0.088) ; 22209 (0.059) ; nlsj80958 (0.058) ; 46195 (0.052) ; 57466 (0.048) ; 20674 (0.048) ; 10056 (0.037) ; 96981 (0.033) ; 97252 (0.033) ; 

0.26108820729869   T=0,K=5:  93341 (0.104) ; 111764 (0.100) ; 37961 (0.055) ; 15609 (0.055) ; 64316 (0.047) ; 57460 (0.035) ; 2392 (0.034) ; 114339 (0.031) ; 70495 (0.029) ; 80761 (0.027) ; 
0.14493023077360448   T=1,K=5:  111764 (0.097) ; 37961 (0.072) ; 93341 (0.071) ; 15609 (0.055) ; 2392 (0.053) ; 64316 (0.049) ; 70495 (0.041) ; 100964 (0.038) ; 33969 (0.027) ; 114339 (0.026) ; 
0.22143143508350752   T=2,K=5:  37961 (0.092) ; 93341 (0.074) ; 111764 (0.069) ; 64316 (0.053) ; 57460 (0.051) ; 15609 (0.047) ; 70495 (0.042) ; 2392 (0.040) ; 89405 (0.032) ; 33969 (0.026) ; 
0.9704293251771048   T=3,K=5:  37961 (0.126) ; 15609 (0.091) ; 93341 (0.057) ; 57460 (0.055) ; 64316 (0.053) ; 33969 (0.046) ; 111764 (0.045) ; 2392 (0.040) ; 96999 (0.031) ; 100964 (0.029) ; 
0.29655620289457424   T=4,K=5:  37961 (0.149) ; 57460 (0.104) ; 15609 (0.070) ; 64316 (0.065) ; 2392 (0.048) ; 96999 (0.044) ; 93341 (0.041) ; 33969 (0.033) ; 111764 (0.029) ; 22209 (0.024) ; 
0.2597453449891701   T=5,K=5:  37961 (0.119) ; 15609 (0.091) ; 57460 (0.076) ; 64316 (0.059) ; 2392 (0.050) ; 96999 (0.036) ; 22425 (0.034) ; 93341 (0.032) ; 70495 (0.032) ; 33969 (0.028) ; 
0.12367522728066604   T=6,K=5:  15609 (0.113) ; 37961 (0.099) ; 57460 (0.072) ; 96999 (0.055) ; 2392 (0.051) ; 70495 (0.037) ; 33969 (0.036) ; 22425 (0.030) ; 31562 (0.029) ; 77640 (0.029) ; 
