213 documents , 1 concepts , 1144 context features (71976) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 3


map[]

===============  per type  ===============
0.1118703025464563   T=4,K=2:  22209 (0.013) ; 6616 (0.009) ; nlsj114757 (0.009) ; 30796 (0.008) ; nlsj61372 (0.007) ; 35672 (0.007) ; 102647 (0.006) ; 110598 (0.005) ; 106263 (0.005) ; 114624 (0.005) ; 
0.19790052297929017   T=5,K=2:  30796 (0.009) ;  (0.008) ; 106263 (0.006) ; nlsj61372 (0.006) ; 1872 (0.005) ; 6616 (0.005) ; nlsj114757 (0.004) ; 97132 (0.004) ; 19788 (0.004) ; 110598 (0.004) ; 
0.1468358511161507   T=6,K=2:   (0.009) ; 106263 (0.009) ; 110012 (0.006) ; 1872 (0.005) ; 26680 (0.005) ; 91547 (0.005) ; 90371 (0.005) ; 103922 (0.005) ; 88922 (0.005) ; 90504 (0.004) ; 
0.19109409319260173   T=7,K=2:  110012 (0.009) ; 90504 (0.007) ; 91547 (0.007) ; 43951 (0.007) ;  (0.007) ; 1872 (0.007) ; 67250 (0.006) ; 106263 (0.006) ; 106502 (0.006) ; 26680 (0.006) ; 
0.13611288341611372   T=8,K=2:  45996 (0.014) ; 84234 (0.012) ; 1872 (0.011) ; 106502 (0.011) ; 70968 (0.010) ; 11058 (0.010) ; 10923 (0.009) ; 34583 (0.009) ; 79828 (0.008) ; 23730 (0.008) ; 
0.11647822756835166   T=9,K=2:  106502 (0.010) ; 10923 (0.010) ; 36576 (0.009) ; 45996 (0.008) ; 37480 (0.008) ; 1872 (0.007) ; 20494 (0.007) ; 22100 (0.006) ; 72106 (0.006) ; 66561 (0.005) ; 
0.08493276869437602   T=10,K=2:  106502 (0.009) ; 10923 (0.008) ; 1872 (0.007) ; 22100 (0.007) ; 101853 (0.006) ; 36576 (0.005) ; 45996 (0.005) ; 37480 (0.005) ; 71976 (0.004) ; 28569 (0.004) ; 
0.059471597864591434   T=11,K=2:  11699 (0.011) ; 50284 (0.009) ; 22100 (0.009) ; nlsj39852 (0.008) ; 18107 (0.006) ; 106502 (0.006) ; 83665 (0.006) ; 43150 (0.005) ; 71976 (0.005) ; 67507 (0.005) ; 
0.0106363516986411   T=12,K=2:  11699 (0.026) ; nlsj39852 (0.011) ; 50284 (0.010) ; 43150 (0.009) ; 18107 (0.007) ; 106502 (0.007) ; 102772 (0.007) ; 109459 (0.007) ; 22100 (0.007) ; 71976 (0.006) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  1872 (0.005) ; 106502 (0.005) ; 106263 (0.004) ;  (0.004) ; 11699 (0.004) ; 22100 (0.004) ; 6616 (0.003) ; 45996 (0.003) ; 22209 (0.003) ; 30796 (0.003) ; 
