1842 documents , 1 concepts , 4828 context features (114548) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 3


map[]

===============  per type  ===============
0.11593079565461213   T=8,K=5:   (0.056) ; 45996 (0.043) ; 8909 (0.019) ; 84234 (0.018) ; 46646 (0.017) ; 86112 (0.017) ; 84494 (0.015) ; 110639 (0.013) ; 62204 (0.013) ; nlsj59172 (0.012) ; 
0.10402551037722578   T=9,K=5:  45996 (0.052) ;  (0.036) ; 84234 (0.021) ; 86112 (0.016) ; 110639 (0.015) ; 62204 (0.014) ; 114548 (0.012) ; 84494 (0.010) ; nlsj76838 (0.008) ; 47735 (0.008) ; 
0.11542485397745646   T=10,K=5:  45996 (0.024) ;  (0.020) ; 19546 (0.014) ; 110639 (0.012) ; 68641 (0.010) ; 84234 (0.007) ; 18185 (0.007) ; 8665 (0.006) ; 84494 (0.006) ; 114624 (0.005) ; 
0.20969707250492192   T=11,K=5:   (0.023) ; 45996 (0.016) ; 68641 (0.010) ; 110639 (0.009) ; 84494 (0.008) ; 18185 (0.006) ; 19546 (0.006) ; 8665 (0.005) ; 70958 (0.005) ; 90504 (0.005) ; 
0.1704584623084766   T=12,K=5:  45996 (0.025) ;  (0.014) ; 110639 (0.013) ; 70958 (0.009) ; 68641 (0.007) ; 114548 (0.007) ; 8665 (0.007) ; 84494 (0.006) ; 15893 (0.006) ; 86187 (0.006) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:   (0.018) ; 45996 (0.017) ; 84494 (0.009) ; nlsj76838 (0.008) ; 84234 (0.007) ; 114753 (0.006) ; 110639 (0.006) ; 86112 (0.005) ; 85306 (0.004) ; 114548 (0.004) ; 

0.06162779808656384   T=0,K=6:  39482 (0.001) ; 33910 (0.001) ; 62204 (0.001) ; 106094 (0.001) ; 48051 (0.001) ; 69903 (0.001) ; 15893 (0.001) ; 6384 (0.001) ; nlsj6688 (0.001) ; 31236 (0.001) ; 
0.04705097909690986   T=1,K=6:  62204 (0.003) ; 73064 (0.002) ; 85306 (0.002) ; 104429 (0.002) ; 31236 (0.002) ; 66173 (0.002) ; 64054 (0.002) ; 15893 (0.002) ; 69903 (0.002) ; 69905 (0.001) ; 
0.07737797266506538   T=2,K=6:  62204 (0.009) ; 104429 (0.007) ; nlsj76838 (0.006) ; 31236 (0.004) ; 45996 (0.004) ; 63772 (0.003) ; 114553 (0.003) ; 66173 (0.002) ; 102847 (0.002) ; 85306 (0.002) ; 
0.13364771827916935   T=3,K=6:  nlsj76838 (0.017) ; 62204 (0.013) ; 31236 (0.006) ; 45996 (0.006) ; 115887 (0.005) ; 110114 (0.005) ; 52571 (0.004) ; 102847 (0.004) ; 22209 (0.004) ; 63772 (0.004) ; 
0.09126932276178439   T=4,K=6:  nlsj76838 (0.051) ; 22209 (0.015) ; 52571 (0.014) ; 86112 (0.006) ; 63772 (0.005) ; 62204 (0.004) ; 31236 (0.003) ; 114553 (0.003) ; 115887 (0.003) ; 110114 (0.003) ; 
0.05303937045283771   T=5,K=6:  22209 (0.014) ; nlsj76838 (0.012) ; 86112 (0.008) ; 114553 (0.007) ; 63772 (0.006) ; 52571 (0.005) ; 115887 (0.005) ; 72627 (0.005) ; 45996 (0.004) ; 85306 (0.004) ; 
0.19338162310959922   T=6,K=6:  63772 (0.023) ; 86112 (0.016) ;  (0.012) ; 45996 (0.011) ; 114553 (0.009) ; 72627 (0.009) ; 22209 (0.008) ; 85306 (0.007) ; 39125 (0.007) ; 52571 (0.006) ; 
0.10621188642254564   T=7,K=6:  63772 (0.074) ;  (0.049) ; 86112 (0.019) ; 85306 (0.017) ; 45996 (0.013) ; 28569 (0.010) ; 22209 (0.009) ; 47007 (0.009) ; 39125 (0.008) ; 116416 (0.008) ; 
0.08435316383860299   T=8,K=6:  63772 (0.033) ;  (0.027) ; 86112 (0.013) ; 28569 (0.010) ; 22209 (0.009) ; 116416 (0.006) ; 76703 (0.005) ; 72627 (0.004) ; 11197 (0.004) ; 52332 (0.004) ; 
0.09496946961907328   T=9,K=6:  63772 (0.016) ; 28569 (0.014) ; 22209 (0.010) ; 110639 (0.005) ; 114548 (0.005) ;  (0.004) ; 72627 (0.004) ; 35429 (0.004) ; 75552 (0.003) ; 112720 (0.003) ; 
0.10278479785687297   T=10,K=6:  28569 (0.038) ; 114548 (0.014) ; 112720 (0.013) ; 65552 (0.011) ; 63772 (0.008) ; 22209 (0.007) ; 79828 (0.006) ; 110639 (0.004) ; 20621 (0.004) ; 85306 (0.004) ; 
0.0990257425914829   T=11,K=6:  28569 (0.021) ; 114548 (0.013) ; 112720 (0.010) ; 22209 (0.007) ; 65552 (0.007) ; 79828 (0.006) ; 75552 (0.004) ; 115887 (0.003) ; 20621 (0.003) ; 63772 (0.003) ; 
0.1387745225203299   T=12,K=6:  114548 (0.021) ; 28569 (0.012) ; 65552 (0.009) ; 112720 (0.008) ; 22209 (0.007) ; 11583 (0.005) ; 115887 (0.004) ; 63772 (0.004) ; 51647 (0.004) ; 79828 (0.004) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:  63772 (0.014) ; 28569 (0.009) ;  (0.008) ; nlsj76838 (0.008) ; 22209 (0.007) ; 86112 (0.006) ; 114548 (0.005) ; 85306 (0.004) ; 45996 (0.004) ; 62204 (0.003) ; 

0.05342639183896857   T=0,K=7:  98234 (0.002) ; 28566 (0.002) ; 41826 (0.001) ; 33910 (0.001) ; 91831 (0.001) ; 12641 (0.001) ; nlsj14055 (0.001) ; 31333 (0.001) ; nlsj10934 (0.001) ; 42648 (0.001) ; 
0.04234678621347886   T=1,K=7:  98234 (0.003) ; 28566 (0.003) ; 33910 (0.002) ; nlsj14055 (0.001) ; 91831 (0.001) ; 73064 (0.001) ; 84494 (0.001) ; 62204 (0.001) ; 43977 (0.001) ; 93812 (0.001) ; 
0.04421883283564426   T=2,K=7:  62204 (0.006) ; 98234 (0.005) ; 28566 (0.003) ; 73064 (0.003) ; 72627 (0.002) ; 84494 (0.002) ; 22209 (0.002) ; 114615 (0.002) ; 49752 (0.002) ; 84234 (0.002) ; 
0.07640868357907597   T=3,K=7:  62204 (0.017) ; 72627 (0.010) ; 84234 (0.008) ; 260 (0.007) ; 85306 (0.006) ; 65552 (0.005) ; nlsj32160 (0.004) ; 63772 (0.004) ; 73064 (0.004) ; 84494 (0.004) ; 
0.10445045474671148   T=4,K=7:  63772 (0.034) ; 62204 (0.022) ; 260 (0.020) ; 85306 (0.017) ; 65552 (0.015) ; 114558 (0.015) ; 84234 (0.012) ; 45996 (0.010) ; 70958 (0.008) ; nlsj32160 (0.008) ; 
0.10101409770177679   T=5,K=7:  63772 (0.018) ; 84234 (0.016) ; 65552 (0.013) ; 62204 (0.010) ; 85306 (0.009) ; nlsj32160 (0.009) ; 260 (0.007) ; 45996 (0.007) ; 114558 (0.005) ; 14568 (0.005) ; 
