2299 documents , 1 concepts , 4352 context features (86219) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============
0.09797731584557333   T=4,K=2:  8665 (0.033) ; 86219 (0.018) ; 26943 (0.015) ; 84234 (0.014) ; 62204 (0.014) ; 85306 (0.012) ; 84494 (0.012) ; 45996 (0.012) ; 29883 (0.012) ; 8909 (0.010) ; 
0.06347545531915011   T=5,K=2:  8665 (0.031) ; 29883 (0.016) ; 26943 (0.015) ; 86219 (0.013) ; 45996 (0.012) ; 26447 (0.011) ; 84234 (0.010) ; 31161 (0.009) ; 31565 (0.009) ; 62204 (0.009) ; 
0.15997400637903822   T=6,K=2:  8665 (0.019) ; 26943 (0.013) ; 1397 (0.011) ; 84494 (0.011) ; 62204 (0.011) ; 72202 (0.011) ; 86219 (0.011) ; 48291 (0.010) ; 49875 (0.010) ; 90504 (0.010) ; 
0.06344989263135473   T=7,K=2:  90504 (0.017) ; 72202 (0.016) ; 26943 (0.012) ; 84234 (0.012) ; 8665 (0.011) ; 86219 (0.011) ; 62204 (0.011) ; 48291 (0.011) ; 49875 (0.011) ; 45996 (0.010) ; 
0.061466517921835356   T=8,K=2:  86219 (0.016) ; 90504 (0.016) ; 62204 (0.014) ; 8665 (0.011) ; 84234 (0.011) ; 84494 (0.011) ; 8909 (0.011) ; 31161 (0.010) ; 42214 (0.009) ; 48291 (0.009) ; 
0.08931360726842316   T=9,K=2:  86219 (0.020) ; 62204 (0.016) ; 90504 (0.015) ; 84494 (0.014) ; 85306 (0.013) ; 95100 (0.013) ; 11583 (0.012) ; 42214 (0.012) ; 8909 (0.011) ; 61791 (0.011) ; 
0.09092419793103382   T=10,K=2:  86219 (0.020) ; 85306 (0.015) ; 84234 (0.015) ; 84494 (0.014) ; 11583 (0.014) ; 26886 (0.011) ; nlsj56179 (0.010) ; 90504 (0.010) ; 74621 (0.009) ; 65552 (0.009) ; 
0.12242860524144179   T=11,K=2:  11583 (0.020) ; 84494 (0.016) ; 84234 (0.015) ; 65552 (0.014) ; 86219 (0.012) ; 43309 (0.011) ; 85306 (0.010) ; 26886 (0.009) ; nlsj56179 (0.009) ; 1564 (0.009) ; 
0.08782570101158496   T=12,K=2:  65552 (0.017) ; 85306 (0.016) ; 84234 (0.016) ; 11583 (0.015) ; 84494 (0.014) ; 64866 (0.013) ; 86219 (0.013) ; 46646 (0.012) ; 26886 (0.012) ; 43309 (0.012) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  8665 (0.023) ; 11583 (0.021) ; 86219 (0.019) ; 84234 (0.013) ; 85306 (0.012) ; 62204 (0.012) ; 84494 (0.011) ; 90504 (0.010) ; 8909 (0.010) ; 26943 (0.009) ; 

0.01188384621484973   T=0,K=3:  43206 (0.023) ; 75552 (0.017) ; 15133 (0.016) ; 34855 (0.015) ; 60003 (0.014) ; 8665 (0.014) ; 84234 (0.012) ; 19452 (0.011) ; 64866 (0.010) ; 76910 (0.010) ; 
0.024378157103624145   T=1,K=3:  75552 (0.024) ; 43206 (0.022) ; 84234 (0.015) ; 8665 (0.015) ; 34855 (0.014) ; 27847 (0.014) ; nlsj14967 (0.013) ; 60003 (0.012) ; 64866 (0.010) ; nlsj1499 (0.010) ; 
0.041200541123676125   T=2,K=3:  43206 (0.035) ; 75552 (0.021) ; nlsj14967 (0.015) ; 84234 (0.014) ; nlsj1499 (0.012) ; 11583 (0.012) ; 8665 (0.012) ; 27847 (0.011) ; 3398 (0.011) ; 60003 (0.011) ; 
0.03985128506681706   T=3,K=3:  43206 (0.026) ; 75552 (0.018) ; nlsj1499 (0.017) ; 64866 (0.015) ; nlsj14967 (0.013) ; 19452 (0.012) ; 84234 (0.012) ; 60003 (0.012) ; 19346 (0.012) ; 72373 (0.011) ; 
0.04877721014624497   T=4,K=3:  43206 (0.021) ; 75552 (0.018) ; 84234 (0.017) ; 64866 (0.015) ; 20588 (0.011) ; 76910 (0.010) ; 34855 (0.010) ; 19452 (0.010) ; nlsj1499 (0.010) ; 72373 (0.009) ; 
