262 documents , 1 concepts , 1424 context features (93711) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.0025123884840684346   T=1,K=3:  67543 (0.062) ; 65552 (0.041) ; 103972 (0.030) ; 44534 (0.027) ; nlsj61372 (0.021) ; 13039 (0.020) ; 22209 (0.019) ; 8665 (0.019) ; 85306 (0.015) ; 19775 (0.013) ; 
0.019284385545283927   T=2,K=3:  67543 (0.042) ; 103972 (0.028) ; nlsj61372 (0.026) ; 44534 (0.024) ; 65552 (0.023) ; 85306 (0.022) ; 8665 (0.016) ; 21651 (0.015) ; 28566 (0.015) ; 22209 (0.015) ; 
0.32418846535527185   T=3,K=3:  67543 (0.047) ; nlsj61372 (0.034) ; 65552 (0.029) ; 103972 (0.018) ; 21651 (0.016) ; 85306 (0.016) ; 22209 (0.015) ; nlsj14967 (0.015) ; 8665 (0.014) ; 44534 (0.013) ; 
0.07600130853226927   T=4,K=3:  67543 (0.038) ; nlsj14967 (0.027) ; nlsj61372 (0.024) ; 65552 (0.023) ; 103972 (0.022) ; 21651 (0.020) ; 85306 (0.017) ; 22209 (0.013) ; 15274 (0.013) ; 45948 (0.011) ; 
0.1103080022149445   T=5,K=3:  67543 (0.029) ; nlsj14967 (0.026) ; 103972 (0.022) ; 22209 (0.019) ; nlsj61372 (0.018) ; 65552 (0.017) ; 113900 (0.014) ; 1211 (0.013) ; 15274 (0.013) ; 21651 (0.012) ; 
0.03945303389328861   T=6,K=3:  103972 (0.028) ; 113900 (0.018) ; 51358 (0.018) ; 17411 (0.017) ; 67543 (0.017) ; 21651 (0.017) ; 1211 (0.016) ; nlsj61372 (0.016) ; 22209 (0.015) ; 85306 (0.015) ; 
0.07194964197242984   T=7,K=3:  22209 (0.025) ; 103972 (0.024) ; 1211 (0.024) ; 51358 (0.021) ; 8665 (0.018) ; nlsj61372 (0.015) ; 67543 (0.015) ; 85306 (0.015) ; 63772 (0.014) ; 17411 (0.013) ; 
0.13810876323640495   T=8,K=3:  1211 (0.028) ; 103972 (0.022) ; nlsj14967 (0.020) ; 51358 (0.020) ; 22209 (0.020) ; 113900 (0.015) ; 63772 (0.014) ; 85306 (0.013) ; 8665 (0.013) ; 103648 (0.013) ; 
0.11286130100574575   T=9,K=3:  22209 (0.024) ; 51358 (0.020) ; nlsj14967 (0.018) ; 103972 (0.018) ; 103648 (0.017) ; 85306 (0.016) ; 113900 (0.016) ; 5446 (0.015) ; 1211 (0.013) ; 63772 (0.013) ; 
0.16961820934448282   T=10,K=3:  22209 (0.039) ; 113900 (0.024) ; nlsj14967 (0.022) ; 103972 (0.019) ; 85306 (0.018) ; 5446 (0.016) ; 323 (0.015) ; 51358 (0.015) ; 19972 (0.014) ; 101711 (0.014) ; 
0.09595146535920425   T=11,K=3:  22209 (0.043) ; 113900 (0.030) ; nlsj14967 (0.023) ; 85306 (0.021) ; 51358 (0.021) ; 103972 (0.016) ; 101711 (0.015) ; 83139 (0.013) ; 17411 (0.013) ; 5446 (0.013) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:  67543 (0.028) ; 103972 (0.025) ; 22209 (0.022) ; 65552 (0.020) ; nlsj14967 (0.018) ; nlsj61372 (0.017) ; 85306 (0.016) ; 113900 (0.015) ; 8665 (0.013) ; 1211 (0.012) ; 

0.29767599257451605   T=0,K=4:  113560 (0.025) ; 76335 (0.018) ; 73767 (0.016) ; 24682 (0.015) ; 48273 (0.014) ; 63772 (0.014) ;  (0.014) ; 23658 (0.014) ; 73353 (0.013) ; 45996 (0.013) ; 
0.8469269757714155   T=1,K=4:  113560 (0.026) ; 23658 (0.019) ; 65552 (0.016) ; 63772 (0.016) ; 4071 (0.016) ; 76335 (0.015) ; 46195 (0.014) ; 108411 (0.013) ;  (0.013) ; 24682 (0.012) ; 
0.8721345659247612   T=2,K=4:  23658 (0.025) ; 113560 (0.022) ; 63772 (0.017) ; 48291 (0.016) ; 11075 (0.015) ; 68641 (0.014) ; 65552 (0.013) ; 110639 (0.012) ; 24682 (0.012) ; 108411 (0.011) ; 
0.23189836143624576   T=3,K=4:  113560 (0.021) ; 65552 (0.017) ; 23658 (0.017) ; 103975 (0.015) ; 27847 (0.013) ; 90504 (0.013) ; 111490 (0.012) ; 110639 (0.012) ; 22209 (0.012) ; 47007 (0.012) ; 
0.08683098890979239   T=4,K=4:  47007 (0.024) ; 113560 (0.019) ; 65552 (0.017) ; 63772 (0.016) ; 47960 (0.014) ; 103975 (0.013) ; nlsj76838 (0.013) ; 111490 (0.013) ; 68641 (0.013) ; nlsj8641 (0.012) ; 
0.06848196731623665   T=5,K=4:  113560 (0.024) ; 47007 (0.018) ; 22209 (0.016) ; 65552 (0.015) ; nlsj76838 (0.015) ; 63772 (0.015) ; 64923 (0.015) ; 47960 (0.015) ; 103975 (0.014) ; 111490 (0.012) ; 
0.17868157634846016   T=6,K=4:  113560 (0.025) ; 65552 (0.021) ; 47960 (0.018) ; nlsj76838 (0.017) ; 90504 (0.017) ; 47007 (0.016) ; 103975 (0.015) ; 63772 (0.015) ; 22209 (0.013) ; 23658 (0.012) ; 
0.11174442211976807   T=7,K=4:  65552 (0.028) ; nlsj69449 (0.020) ; 47007 (0.020) ; 113560 (0.018) ; 27847 (0.016) ; 90504 (0.016) ; 63772 (0.015) ; 68641 (0.012) ; 110639 (0.012) ; nlsj76838 (0.012) ; 
0.16997046688777281   T=8,K=4:  65552 (0.024) ; 27847 (0.023) ; 113560 (0.022) ; 47007 (0.019) ; 90504 (0.019) ; 63772 (0.017) ; 23658 (0.014) ; 4076 (0.014) ; 110639 (0.014) ; 68641 (0.012) ; 
0.13205985260084874   T=9,K=4:  113560 (0.024) ; 65552 (0.021) ; 47007 (0.021) ; 90504 (0.019) ; 4076 (0.017) ; 27847 (0.017) ; 111490 (0.017) ; 68641 (0.016) ; 37886 (0.014) ; 110639 (0.014) ; 
0.10135093844609368   T=10,K=4:  102117 (0.022) ; 90504 (0.021) ; 65552 (0.020) ; 4076 (0.018) ; 113560 (0.018) ; 111490 (0.017) ; 47007 (0.016) ; 57779 (0.016) ; nlsj76838 (0.014) ; 64866 (0.013) ; 
0.10233855943763451   T=11,K=4:  65552 (0.029) ; 113560 (0.026) ; 102117 (0.024) ; 4076 (0.023) ; 90504 (0.023) ; 111490 (0.016) ; 47007 (0.016) ; 68641 (0.016) ; 52156 (0.015) ; 104421 (0.014) ; 
