135 documents , 1 concepts , 716 context features (59339) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -354, end 363, times 8, dT 100, I 1000


map[]

===============  per type  ===============
p(w|s) = sum_t P(w|t,s)  T=-1,K=8:  110639 (0.089) ; 8909 (0.037) ; 31236 (0.035) ; 80761 (0.033) ; 21872 (0.029) ; 12349 (0.029) ; 110606 (0.024) ; 48291 (0.024) ; 84295 (0.024) ; 36165 (0.023) ; 

0.006611143149816866   T=0,K=9:  34855 (0.054) ; 102000 (0.031) ; 63715 (0.030) ; 111207 (0.026) ; 114548 (0.026) ; 55139 (0.024) ; 84248 (0.023) ; 26766 (0.022) ; 54217 (0.022) ; nlsj2087 (0.021) ; 
0.042492115319985306   T=1,K=9:  34855 (0.046) ; 114548 (0.038) ; 71308 (0.032) ; 55139 (0.029) ; 84248 (0.028) ; 75308 (0.027) ; 7911 (0.023) ; 111207 (0.023) ; 102000 (0.023) ; 41082 (0.019) ; 
0.06989992797354332   T=2,K=9:  114548 (0.051) ; 75308 (0.046) ; 71308 (0.034) ; 34855 (0.030) ; 111207 (0.028) ; 7911 (0.027) ; 41082 (0.024) ; 53769 (0.024) ; 84248 (0.024) ; 102000 (0.022) ; 
0.013989362185215098   T=3,K=9:  114548 (0.055) ; 75308 (0.039) ; 53769 (0.034) ; 34855 (0.029) ; 111207 (0.028) ; 7911 (0.027) ; 26766 (0.027) ; 55139 (0.026) ; 41082 (0.026) ; 84248 (0.024) ; 
0.06623911490007964   T=4,K=9:  114548 (0.069) ; 53769 (0.037) ; 75308 (0.034) ; 102000 (0.031) ; 34855 (0.029) ; 41082 (0.028) ; 55139 (0.027) ; 54217 (0.024) ; 33603 (0.021) ; 116416 (0.021) ; 
0.036221724800385637   T=5,K=9:  114548 (0.080) ; 41082 (0.031) ; 54217 (0.031) ; 102000 (0.030) ; 55139 (0.029) ; 75308 (0.027) ; 53769 (0.026) ; 24289 (0.025) ; 34855 (0.022) ; 26766 (0.021) ; 
0.24803183689624814   T=6,K=9:  114548 (0.080) ; 54217 (0.051) ; 41082 (0.043) ; 53769 (0.032) ; 75308 (0.028) ; 24289 (0.026) ; 104690 (0.025) ; 83319 (0.024) ; 55139 (0.023) ; 26766 (0.022) ; 
0.1496619438782964   T=7,K=9:  114548 (0.092) ; 54217 (0.049) ; 75308 (0.046) ; 53769 (0.034) ; 55139 (0.031) ; 41082 (0.029) ; 83319 (0.026) ; 65313 (0.023) ; 24289 (0.022) ; 102000 (0.022) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=9:  114548 (0.061) ; 75308 (0.034) ; 34855 (0.031) ; 53769 (0.028) ; 54217 (0.028) ; 41082 (0.027) ; 55139 (0.026) ; 102000 (0.025) ; 111207 (0.022) ; 24289 (0.020) ; 

3.214848557776238e-05   T=0,K=10:  26226 (0.113) ; 65552 (0.067) ; 85306 (0.054) ; 36468 (0.040) ; 114548 (0.036) ; 42842 (0.033) ; 112720 (0.032) ; 52571 (0.028) ; 63845 (0.027) ; 100716 (0.022) ; 
0.0007678736867310552   T=1,K=10:  26226 (0.074) ; 65552 (0.061) ; 85306 (0.057) ; 36468 (0.044) ; 42842 (0.037) ; 63845 (0.033) ; 52571 (0.031) ; 114548 (0.031) ; 112720 (0.029) ; 1872 (0.024) ; 
0.0023690173986232414   T=2,K=10:  65552 (0.054) ; 85306 (0.045) ; 1872 (0.045) ; 112720 (0.040) ; 26226 (0.036) ; nlsj68245 (0.032) ; 42842 (0.030) ; 52571 (0.028) ; 8575 (0.027) ; 36468 (0.027) ; 
0.11240475733708238   T=3,K=10:  85306 (0.052) ; 65552 (0.051) ; 36468 (0.050) ; 1872 (0.036) ; 112720 (0.035) ; nlsj68245 (0.034) ; 26226 (0.034) ; 42842 (0.033) ; 97913 (0.028) ; 102381 (0.026) ; 
0.09331705508060315   T=4,K=10:  65552 (0.058) ; 1872 (0.047) ; 85306 (0.042) ; 42842 (0.041) ; 36468 (0.041) ; 8575 (0.033) ; 112720 (0.032) ; 97913 (0.032) ; 26226 (0.032) ; nlsj68245 (0.029) ; 
0.017259925447585343   T=5,K=10:  65552 (0.066) ; 42842 (0.046) ; 63845 (0.043) ; 1872 (0.040) ; 36468 (0.040) ; 97913 (0.037) ; nlsj68245 (0.033) ; 8575 (0.026) ; 10221 (0.025) ; 85306 (0.025) ; 
0.026371540430327453   T=6,K=10:  65552 (0.074) ; 97913 (0.046) ; 1872 (0.044) ; 42842 (0.041) ; 36468 (0.034) ; nlsj68245 (0.034) ; 63845 (0.033) ; 55208 (0.032) ; 10221 (0.028) ; 112720 (0.026) ; 
0.007003297076408688   T=7,K=10:  65552 (0.055) ; 1872 (0.053) ; 36468 (0.042) ; 42842 (0.041) ; 8575 (0.036) ; nlsj68245 (0.035) ; 15682 (0.035) ; 63845 (0.034) ; 55208 (0.034) ; 97913 (0.032) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=10:  65552 (0.061) ; 26226 (0.043) ; 85306 (0.041) ; 36468 (0.040) ; 1872 (0.038) ; 42842 (0.038) ; 63845 (0.031) ; 112720 (0.030) ; nlsj68245 (0.030) ; 97913 (0.027) ; 

4.082031224974017e-06   T=0,K=11:  22209 (0.084) ; 35362 (0.071) ; 45996 (0.061) ; 9974 (0.044) ; 103922 (0.041) ; 6328 (0.041) ; 48291 (0.033) ; 116416 (0.028) ; nlsj75598 (0.023) ; 54217 (0.021) ; 
7.71467828508344e-05   T=1,K=11:  22209 (0.072) ; 45996 (0.060) ; 35362 (0.048) ; 9974 (0.041) ; 103922 (0.040) ; nlsj75598 (0.035) ; 65552 (0.035) ; 6328 (0.032) ; 48291 (0.027) ; 54217 (0.027) ; 
0.001075810809708803   T=2,K=11:  45996 (0.064) ; 9974 (0.052) ; 22209 (0.051) ; 103922 (0.051) ; 35362 (0.041) ; 48291 (0.033) ; 65552 (0.027) ; 90504 (0.026) ; nlsj75598 (0.023) ; 31236 (0.022) ; 
