1751 documents , 1 concepts , 4413 context features (70958) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.12526527780318064   T=10,K=2:  85306 (0.014) ; 22209 (0.014) ; 48291 (0.013) ; 31161 (0.013) ; 45996 (0.013) ; 84234 (0.011) ; 114753 (0.009) ; 23726 (0.009) ;  (0.009) ; nlsj14967 (0.008) ; 
0.15560891956177283   T=11,K=2:  22209 (0.022) ; 48291 (0.015) ; 31161 (0.015) ; 85306 (0.014) ; 23726 (0.012) ; nlsj14967 (0.010) ;  (0.010) ; 45996 (0.010) ; 79223 (0.009) ; 90504 (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  22209 (0.024) ; 84234 (0.012) ; 84422 (0.011) ; 114753 (0.010) ; 23726 (0.009) ; 74735 (0.009) ;  (0.009) ; 85306 (0.009) ; 105829 (0.009) ; nlsj114757 (0.008) ; 

0.09542973331577763   T=0,K=3:  104429 (0.018) ; nlsj71743 (0.014) ; 2731 (0.013) ; 49955 (0.012) ;  (0.012) ; 27148 (0.011) ; 48291 (0.011) ; 73277 (0.011) ; 6174 (0.010) ; 62204 (0.010) ; 
0.1135362295857111   T=1,K=3:  104429 (0.013) ; 62204 (0.012) ; 27148 (0.011) ; 2731 (0.011) ; 73277 (0.010) ; 6174 (0.009) ; 19546 (0.009) ; 26197 (0.009) ; 22210 (0.009) ; 51849 (0.009) ; 
0.18411967061423085   T=2,K=3:  62204 (0.015) ; 84234 (0.013) ; 51849 (0.012) ; 104429 (0.012) ; 73277 (0.011) ; 2731 (0.010) ; 45996 (0.010) ; 19546 (0.009) ; 65552 (0.009) ; 84494 (0.008) ; 
0.10933825063281244   T=3,K=3:  62204 (0.015) ; 2731 (0.014) ; 45996 (0.013) ; 96541 (0.013) ;  (0.013) ; 84494 (0.010) ; 84234 (0.009) ; 104429 (0.009) ; 49955 (0.009) ; 113560 (0.009) ; 
0.09110572985211758   T=4,K=3:  62204 (0.013) ; 45996 (0.012) ; 84494 (0.011) ;  (0.010) ; 2731 (0.010) ; 11583 (0.009) ; 84234 (0.009) ; 104429 (0.008) ; 22210 (0.007) ; 115887 (0.007) ; 
0.1564265557408338   T=5,K=3:  84494 (0.012) ;  (0.011) ; 84234 (0.010) ; 11583 (0.009) ; 45996 (0.009) ; 115887 (0.009) ; 104429 (0.008) ; 62204 (0.007) ; 2731 (0.007) ; 112720 (0.007) ; 
0.09333289324263169   T=6,K=3:   (0.018) ; 45996 (0.016) ; 84494 (0.013) ; 104429 (0.012) ; 84234 (0.010) ; 52035 (0.010) ; 22209 (0.010) ; 11583 (0.009) ; 20621 (0.008) ; 8909 (0.007) ; 
0.12161411185645579   T=7,K=3:   (0.020) ; 45996 (0.019) ; 84494 (0.012) ; 22209 (0.011) ; 104429 (0.010) ; 20621 (0.010) ; 110639 (0.008) ; 84234 (0.007) ; 11583 (0.007) ; 90504 (0.007) ; 
0.19684303457607102   T=8,K=3:  45996 (0.014) ;  (0.013) ; 22209 (0.012) ; 84494 (0.011) ; 104429 (0.010) ; 19546 (0.008) ; 20621 (0.008) ; 90504 (0.007) ; 46195 (0.006) ; 6616 (0.006) ; 
0.08274135412144182   T=9,K=3:   (0.014) ; 45996 (0.011) ; 22209 (0.011) ; 48291 (0.010) ; 62204 (0.010) ; 46195 (0.009) ; 84494 (0.009) ; 19546 (0.009) ; 104429 (0.008) ; 20621 (0.007) ; 
0.0958667686535492   T=10,K=3:   (0.019) ; 45996 (0.016) ; 62204 (0.013) ; 104429 (0.013) ; 22209 (0.012) ; 48291 (0.011) ; 19546 (0.009) ; 46195 (0.009) ; 102000 (0.009) ; 64866 (0.008) ; 
0.06204704870090178   T=11,K=3:  104429 (0.019) ; 45996 (0.016) ; 102000 (0.014) ;  (0.012) ; 8909 (0.011) ; 46195 (0.010) ; 80306 (0.010) ; 64866 (0.010) ; 48291 (0.009) ; 22209 (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:   (0.013) ; 45996 (0.013) ; 104429 (0.012) ; 62204 (0.010) ; 84494 (0.009) ; 2731 (0.007) ; 84234 (0.007) ; 22209 (0.007) ; 48291 (0.007) ; 11583 (0.007) ; 

0.06421330936461841   T=0,K=4:  84234 (0.027) ; 45996 (0.021) ; 62204 (0.017) ; nlsj71743 (0.017) ; 95654 (0.014) ; nlsj32167 (0.011) ;  (0.011) ; 20621 (0.011) ; 41345 (0.009) ; 51849 (0.009) ; 
0.04342221318567076   T=1,K=4:  62204 (0.037) ; 84234 (0.023) ; 45996 (0.021) ;  (0.017) ; nlsj71743 (0.013) ; 48291 (0.013) ; 95654 (0.012) ; 84494 (0.009) ; 4845 (0.009) ; 37726 (0.008) ; 
0.0749473250649035   T=2,K=4:  62204 (0.030) ; 45996 (0.022) ; 84234 (0.021) ;  (0.018) ; nlsj71743 (0.013) ; 84494 (0.010) ; 4845 (0.009) ; 64866 (0.009) ; 95654 (0.008) ; 37726 (0.007) ; 
0.05827967999363303   T=3,K=4:  45996 (0.020) ; 62204 (0.019) ;  (0.016) ; 84234 (0.015) ; 4845 (0.009) ; 19719 (0.009) ; nlsj71743 (0.009) ; 114624 (0.008) ; 64866 (0.008) ; 22209 (0.008) ; 
0.09144736752988553   T=4,K=4:  45996 (0.020) ;  (0.019) ; 62204 (0.012) ; 84234 (0.010) ; 20621 (0.010) ; 22209 (0.010) ; 4845 (0.009) ; 114624 (0.008) ; 48291 (0.007) ; nlsj2752 (0.007) ; 
0.1180210606111583   T=5,K=4:   (0.022) ; 45996 (0.015) ; 22209 (0.012) ; 20621 (0.011) ; 114624 (0.010) ; 84494 (0.008) ; 62204 (0.008) ; 46613 (0.007) ; 48291 (0.007) ; 79223 (0.007) ; 
0.19832584676152995   T=6,K=4:   (0.030) ; 114624 (0.012) ; 45996 (0.009) ; 75552 (0.008) ; 79223 (0.007) ; 4845 (0.007) ; 16051 (0.007) ; 84248 (0.007) ; nlsj71743 (0.006) ; 22209 (0.006) ; 
0.1486391568424171   T=7,K=4:   (0.027) ; 45996 (0.010) ; 16051 (0.009) ; 48291 (0.009) ; 79223 (0.008) ; 114624 (0.008) ; 75552 (0.007) ; 84494 (0.007) ; 19719 (0.007) ; 84248 (0.007) ; 
0.07722444678633085   T=8,K=4:   (0.022) ; 48291 (0.018) ; 84494 (0.010) ; 75552 (0.007) ; 84234 (0.007) ; 79223 (0.007) ; 16051 (0.007) ; 64866 (0.006) ; 85306 (0.006) ; 45996 (0.006) ; 
0.08282849989633075   T=9,K=4:   (0.016) ; 48291 (0.014) ; 19546 (0.009) ; 84494 (0.009) ; 64866 (0.008) ; 48051 (0.008) ; 45368 (0.007) ; 84234 (0.007) ; 65615 (0.006) ; 84248 (0.006) ; 
0.06851770069114561   T=10,K=4:   (0.025) ; 48291 (0.012) ; 64866 (0.010) ; 8665 (0.008) ; 48051 (0.008) ; 85306 (0.007) ; 72202 (0.006) ; 45368 (0.006) ; 53651 (0.006) ; 84494 (0.006) ; 
0.04159774715376979   T=11,K=4:   (0.034) ; 48291 (0.010) ; 8665 (0.009) ; 48051 (0.008) ; 64866 (0.008) ; 114624 (0.008) ; 103972 (0.008) ; 37470 (0.007) ; 101711 (0.007) ; 28566 (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:   (0.021) ; 45996 (0.013) ; 62204 (0.012) ; 84234 (0.011) ; 48291 (0.010) ; 84494 (0.007) ; nlsj71743 (0.007) ; 114624 (0.007) ; 64866 (0.007) ; 22209 (0.006) ; 

0.005983413653618588   T=0,K=5:  86112 (0.015) ; 84234 (0.013) ; 104355 (0.013) ; 1564 (0.013) ; 45996 (0.012) ; 71308 (0.012) ; 102930 (0.012) ; 61791 (0.011) ; 84434 (0.011) ; 85306 (0.011) ; 
0.009119370009663652   T=1,K=5:  84494 (0.016) ; 1564 (0.016) ; 48291 (0.015) ; 85306 (0.014) ; 61791 (0.013) ; 86112 (0.013) ; 84434 (0.012) ; 71308 (0.011) ; 16051 (0.011) ; 45996 (0.010) ; 
0.0203387589060196   T=2,K=5:  85306 (0.020) ; 84494 (0.019) ; 84434 (0.015) ; 48291 (0.015) ; 84234 (0.011) ; 115887 (0.010) ; 45996 (0.010) ; 16051 (0.010) ; 61791 (0.009) ; 1564 (0.009) ; 
0.06388025703035258   T=3,K=5:  45996 (0.018) ; 85306 (0.016) ; 84434 (0.014) ; 48291 (0.012) ; 84494 (0.012) ; 84234 (0.012) ; 1564 (0.009) ; 71308 (0.009) ; 16051 (0.008) ; 11583 (0.008) ; 
0.13722032245269344   T=4,K=5:  45996 (0.015) ; 84234 (0.014) ; 85306 (0.013) ; 11583 (0.010) ; 71308 (0.010) ; 62204 (0.009) ; 84494 (0.009) ; 8909 (0.009) ; 48291 (0.009) ;  (0.008) ; 
0.1311282095127647   T=5,K=5:  85306 (0.019) ; 84234 (0.016) ; 22209 (0.011) ; 71308 (0.011) ; 84494 (0.010) ; 45996 (0.010) ; 62204 (0.009) ; 21920 (0.009) ; 26447 (0.008) ; 22825 (0.008) ; 
0.09459095729657563   T=6,K=5:  85306 (0.022) ; 45996 (0.016) ; 8909 (0.014) ; 84494 (0.013) ; 62204 (0.011) ; 22209 (0.010) ; 84434 (0.008) ; 65552 (0.008) ; 84234 (0.008) ; 71308 (0.008) ; 
0.07330438275700829   T=7,K=5:  45996 (0.024) ; 85306 (0.015) ; 62204 (0.015) ; 22209 (0.012) ; 48291 (0.011) ; 84494 (0.011) ; 84434 (0.010) ; 65552 (0.009) ; 28566 (0.009) ; 42214 (0.008) ; 
0.07727061796518123   T=8,K=5:  45996 (0.027) ; 62204 (0.018) ; 22209 (0.011) ; 48291 (0.011) ; 85306 (0.011) ; 84434 (0.010) ; 84494 (0.009) ; 71308 (0.008) ; 84234 (0.008) ; 8909 (0.008) ; 
