1832 documents , 1 concepts , 4516 context features (49875) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 7, dT 200, I 100


map[]

===============  per type  ===============
0.10233126365661589   T=4,K=7:  58429 (0.015) ;  (0.014) ; 84234 (0.010) ; 20621 (0.010) ; 85306 (0.009) ; 62204 (0.008) ; 45996 (0.007) ; 15893 (0.007) ; 75552 (0.007) ; nlsj76838 (0.007) ; 
0.10792956536653898   T=5,K=7:  58429 (0.017) ; 84234 (0.015) ;  (0.015) ; 84494 (0.010) ; 62204 (0.009) ; 50702 (0.008) ; 47007 (0.008) ; 114753 (0.007) ; 86112 (0.007) ; 20621 (0.007) ; 
0.061595545390491585   T=6,K=7:  58429 (0.035) ; 84234 (0.016) ;  (0.012) ; 50702 (0.012) ; 85306 (0.011) ; 84494 (0.009) ; 116416 (0.008) ; nlsj32160 (0.008) ; 114624 (0.007) ; 62204 (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=7:  58429 (0.016) ;  (0.014) ; 84234 (0.013) ; 45996 (0.011) ; 86112 (0.009) ; 20621 (0.009) ; 62204 (0.008) ; 50702 (0.008) ; 85306 (0.007) ; 84494 (0.007) ; 

0.13159696743628285   T=0,K=8:  22209 (0.031) ; 85306 (0.018) ; 45996 (0.016) ; 68641 (0.011) ; 84234 (0.010) ; 43206 (0.009) ; 58386 (0.009) ; 105829 (0.008) ; 84494 (0.008) ; 24444 (0.008) ; 
0.2352690696227308   T=1,K=8:  45996 (0.018) ; 22209 (0.017) ; 11583 (0.012) ; 85306 (0.011) ; 68641 (0.010) ; 24444 (0.008) ; 4845 (0.007) ; 84494 (0.007) ; 58386 (0.007) ; 43206 (0.007) ; 
0.09857120418039782   T=2,K=8:  22209 (0.015) ; 45996 (0.014) ; 84494 (0.012) ; 85306 (0.011) ; 11583 (0.010) ; 68641 (0.010) ; 58386 (0.008) ; 49875 (0.007) ; 84234 (0.007) ; 43206 (0.006) ; 
0.09333596318843439   T=3,K=8:  85306 (0.012) ; 45996 (0.012) ; 68641 (0.010) ; 22209 (0.009) ; 49875 (0.008) ; 11583 (0.008) ; 84494 (0.008) ; 43206 (0.008) ; 24444 (0.007) ; 58386 (0.007) ; 
0.09454124915935892   T=4,K=8:  45996 (0.020) ; 84494 (0.011) ; 22209 (0.011) ; 68641 (0.008) ; 85306 (0.007) ; 58429 (0.007) ; 103922 (0.007) ; 5607 (0.007) ; 11583 (0.006) ; 102230 (0.006) ; 
